specs,"GeForce
RTX 4090","GeForce
RTX 4080 SUPER","GeForce
RTX 4080","GeForce
RTX 4070 Ti SUPER","GeForce
RTX 4070 Ti","GeForce
RTX 4070 SUPER","GeForce
RTX 4070","GeForce
RTX 4060 Ti","GeForce
RTX 4060"
GPU Engine Specs:,,,,,,,,,
NVIDIA CUDA® Cores,16384,10240,9728,8448,7680,7168,5888,4352,3072
Shader Cores,"Ada Lovelace
83 TFLOPS","Ada Lovelace
52 TFLOPS","Ada Lovelace
49 TFLOPS","Ada Lovelace
44 TFLOPS","Ada Lovelace
40 TFLOPS","Ada Lovelace
36 TFLOPS","Ada Lovelace
29 TFLOPS","Ada Lovelace
22 TFLOPS","Ada Lovelace
15 TFLOPS"
Ray Tracing Cores,"3rd Generation
191 TFLOPS","3rd Generation
121 TFLOPS","3rd Generation
113 TFLOPS","3rd Generation
102 TFLOPS","3rd Generation
93 TFLOPS","3rd Generation
82 TFLOPS","3rd Generation
67 TFLOPS","3rd Generation
51 TFLOPS","3rd Generation
35 TFLOPS"
Tensor Cores (AI),"4th Generation
1321 AI TOPS","4th Generation
836 AI TOPS","4th Generation
780 AI TOPS","4th Generation
706 AI TOPS","4th Generation
641 AI TOPS","4th Generation
568 AI TOPS","4th Generation
466 AI TOPS","4th Generation
353 AI TOPS","4th Generation
242 AI TOPS"
Boost Clock (GHz),2.52,2.55,2.51,2.61,2.61,2.48,2.48,2.54,2.46
Base Clock (GHz),2.23,2.29,2.21,2.34,2.31,1.98,1.92,2.31,1.83
,,,,,,,,,
Memory Specs:,,,,,,,,,
Standard Memory Config,24 GB GDDR6X,16 GB GDDR6X,16 GB GDDR6X,16 GB GDDR6X,12 GB GDDR6X,12 GB GDDR6X,12 GB GDDR6 / 12 GB GDDR6X,16 GB GDDR6 or 8 GB GDDR6,8 GB GDDR6
Memory Interface Width,384-bit,256-bit,256-bit,256-bit,192-bit,192-bit,192-bit,128-bit,128-bit
,,,,,,,,,
Display Support:,,,,,,,,,
Maximum Digital Resolution (1),"4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR","4K at 240Hz or 8K at 60Hz with DSC, HDR"
