specs,"GeForce
RTX 5090","GeForce
RTX 5080","GeForce
RTX 5070 Ti","GeForce
RTX 5070","GeForce
RTX 5060 Ti","GeForce
RTX 5060","GeForce
RTX 5050"
GPU Engine Specs:,,,,,,,
NVIDIA CUDA® Cores,21760,10752,8960,6144,4608,3840,2560
Shader Cores,Blackwell,Blackwell,Blackwell,Blackwell,Blackwell,Blackwell,Blackwell
Tensor Cores (AI),"5th Generation
3352 AI TOPS","5th Generation
1801 AI TOPS","5th Generation
1406 AI TOPS","5th Generation
988 AI TOPS","5th Generation
759 AI TOPS","5th Generation
614 AI TOPS","5th Generation
421 AI TOPS"
Ray Tracing Cores,"4th Generation
318 TFLOPS","4th Generation
171 TFLOPS","4th Generation
133 TFLOPS","4th Generation
94 TFLOPS","4th Generation
72 TFLOPS","4th Generation
58 TFLOPS","4th Generation
40 TFLOPS"
Boost Clock (GHz),2.41,2.62,2.45,2.51,2.57,2.50,2.57
Base Clock (GHz),2.01,2.30,2.30,2.33,2.41,2.28,2.31
,,,,,,,
Memory Specs:,,,,,,,
Standard Memory Config,32 GB GDDR7,16 GB GDDR7,16 GB GDDR7,12 GB GDDR7,16 GB / 8 GB GDDR7,8 GB GDDR7,8 GB GDDR6
Memory Interface Width,512-bit,256-bit,256-bit,192-bit,128-bit,128-bit,128-bit
Memory Bandwidth,1792 GB/sec,960 GB/sec,896 GB/sec,672 GB/sec,448 GB/sec,448 GB/sec,320 GB/sec
,,,,,,,
Display Support:,,,,,,,
Maximum Digital Resolution (1),4K at 480Hz or 8K at 165Hz with DSC,4K at 480Hz or 8K at 165Hz with DSC,4K at 480Hz or 8K at 165Hz with DSC,4K at 480Hz or 8K at 165Hz with DSC,4K at 480Hz or 8K at 165Hz with DSC,4K at 480Hz or 8K at 165Hz with DSC,4K at 480Hz or 8K at 165Hz with DSC
